version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 554777593914 eni-05784332a71d1bdd5 10.0.1.115 10.0.0.7 43824 33444 17 1 60 1621804432 1621804445 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 8.8.8.8 40183 33474 17 1 60 1621804432 1621804445 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.1.115 10.0.0.7 36613 33440 17 1 60 1621804432 1621804445 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.1.115 10.0.0.7 40338 33468 17 1 60 1621804432 1621804445 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 8.8.8.8 54234 33440 17 1 60 1621804449 1621804465 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 8.8.8.8 10289 33444 17 1 60 1621804449 1621804465 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.1.115 10.0.0.7 35534 33465 17 1 60 1621804449 1621804465 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 8.8.8.8 15167 33449 17 1 60 1621804449 1621804465 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 8.8.8.8 24211 33465 17 1 60 1621804449 1621804465 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.1.115 10.0.0.7 35031 33458 17 1 60 1621804449 1621804465 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 8.8.8.8 18378 33441 17 1 60 1621804449 1621804465 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 8.8.8.8 35595 33468 17 1 60 1621804449 1621804465 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.1.115 10.0.0.7 38658 33449 17 1 60 1621804449 1621804465 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 45.134.26.37 10.0.0.7 56447 1798 6 1 40 1621804492 1621804493 ACCEPT OK
2 554777593914 eni-05784332a71d1bdd5 10.0.0.7 8.8.8.8 26361 33467 17 1 60 1621804467 1621804467 ACCEPT OK
